Designator,Mid X,Mid Y,Rotation,Layer
SW48,289.56,-149.365,0.0,top
SW49,308.61,-149.365,0.0,top
SW5,184.785,-101.74,0.0,top
SW50,327.66,-149.365,0.0,top
SW51,346.71,-149.365,0.0,top
SW52,365.76,-149.365,0.0,top
SW53,384.81,-149.365,0.0,top
SW54,403.86,-149.365,0.0,top
SW55,422.91,-149.365,0.0,top
SW56,446.7225,-149.365,0.0,top
SW57,475.2975,-149.365,0.0,top
SW58,494.3475,-149.365,0.0,top
SW59,103.8225,-168.415,0.0,top
SW6,208.5975,-101.74,0.0,top
SW60,122.8725,-168.415,0.0,top
SW61,141.9225,-168.415,0.0,top
SW62,191.92875,-168.415,0.0,top
SW63,218.1225,-168.415,0.0,top
SW64,237.1725,-168.415,0.0,top
SW65,256.2225,-168.415,0.0,top
SW66,275.2725,-168.415,0.0,top
SW67,294.3225,-168.415,0.0,top
SW68,313.3725,-168.415,0.0,top
SW69,332.4225,-168.415,0.0,top
SW7,227.6475,-101.74,0.0,top
SW70,351.4725,-168.415,0.0,top
SW71,370.5225,-168.415,0.0,top
SW72,389.5725,-168.415,0.0,top
SW73,408.6225,-168.415,0.0,top
SW74,439.57875,-171.3625,0.0,top
SW75,475.2975,-168.415,0.0,top
SW76,494.3475,-168.415,0.0,top
SW77,103.8225,-187.465,0.0,top
SW78,122.8725,-187.465,0.0,top
SW79,141.9225,-187.465,0.0,top
SW8,246.6975,-101.74,0.0,top
SW80,161.83,-199.08,0.0,top
SW81,196.69125,-190.4125,0.0,top
SW82,227.6475,-187.465,0.0,top
SW83,246.6975,-187.465,0.0,top
SW84,265.7475,-187.465,0.0,top
SW85,284.7975,-187.465,0.0,top
SW86,303.8475,-187.465,0.0,top
SW87,322.8975,-187.465,0.0,top
SW88,341.9475,-187.465,0.0,top
SW89,360.9975,-187.465,0.0,top
SW9,265.7475,-101.74,0.0,top
SW90,380.0475,-187.465,0.0,top
SW91,399.0975,-187.465,0.0,top
SW92,425.29125,-187.465,0.0,top
SW93,456.2475,-192.2275,0.0,top
SW94,113.3475,-206.515,0.0,top
SW95,141.9225,-206.515,0.0,top
SW96,187.16625,-206.515,0.0,top
SW97,210.97875,-206.515,0.0,top
SW98,234.79125,-206.515,0.0,top
SW99,306.22875,-209.4625,0.0,top
U1,485.5125,-95.1,90.0,bottom
U2,470.65,-105.7,180.0,bottom
U3,499.0125,-91.6,270.0,bottom
Y1,486.4375,-106.6,0.0,bottom
